Alpha,T1_Re0.300_M0.00_N9.0, , Alpha,T1_Re0.300_M0.00_N9.0, , Alpha,T1_Re0.300_M0.00_N9.0, ,
          -10,     0.4553407, ,           -10,     0.2888725, ,           -10,    -0.1276219, ,
         -9.5,     0.4707898, ,          -9.5,     0.3285607, ,          -9.5,   -0.09413842, ,
           -9,     0.4844224, ,            -9,     0.3679603, ,            -9,   -0.05831153, ,
         -8.5,     0.4970484, ,            -8,     0.3899383, ,          -8.5,    -0.0272421, ,
           -8,     0.4963436, ,          -7.5,     0.4282588, ,            -8,   0.009927572, ,
         -7.5,     0.4906206, ,          -6.5,     0.4511915, ,          -7.5,    0.02692063, ,
           -7,      0.510875, ,            -6,     0.4953569, ,            -7,     0.0751482, ,
         -6.5,     0.5248873, ,          -5.5,     0.4819587, ,          -6.5,    0.09858946, , 
           -6,     0.5336856, ,            -5,     0.5431178, ,            -6,      0.124154, ,
         -5.5,     0.5336086, ,            -4,     0.5846172, ,          -5.5,     0.1287663, ,
           -5,     0.5083518, ,          -3.5,     0.5749322, ,            -5,     0.1599429, ,
         -4.5,      0.538273, ,            -3,     0.5898438, ,          -4.5,     0.1933407, ,
           -4,     0.5891717, ,          -2.5,     0.5611319, ,            -4,     0.2951405, ,
         -3.5,     0.6303608, ,            -2,     0.5844542, ,          -3.5,     0.3741637, ,
           -3,     0.7760537, ,          -1.5,       0.58963, ,            -3,     0.3861589, ,
         -2.5,     0.8301344, ,            -1,     0.5987682, ,          -2.5,     0.4255013, ,
           -2,     0.8835148, ,          -0.5,      0.681196, ,            -2,     0.5461558, ,
         -1.5,     0.9403398, ,             0,     0.6722827, ,          -1.5,     0.7866662, ,
           -1,     0.9982036, ,           0.5,     0.7639325, ,            -1,      1.000718, ,
         -0.5,      1.048593, ,             1,      1.644784, ,          -0.5,      1.079247, ,
            0,      1.099947, ,           1.5,      1.696175, ,             0,      1.163062, ,
          0.5,      1.153723, ,             2,      1.761125, ,           0.5,      1.221256, ,
            1,      1.211142, ,           2.5,       1.80319, ,             1,      1.277565, ,
          1.5,      1.262577, ,             3,      1.834969, ,           1.5,      1.336223, ,
            2,       1.30916, ,           3.5,      1.872139, ,             2,       1.40582, ,
          2.5,      1.359262, ,             4,      1.903553, ,           2.5,      1.461322, ,
            3,      1.412141, ,           4.5,      1.936755, ,             3,      1.520334, ,
          3.5,      1.470826, ,             5,      1.972011, ,           3.5,      1.579913, ,
            4,      1.506868, ,           5.5,       1.99905, ,             4,      1.618218, ,
          4.5,      1.550273, ,             6,      2.026975, ,             5,      1.736784, ,
            5,      1.597917, ,           6.5,      2.047809, ,           5.5,      1.786787, ,
          5.5,      1.652176, ,             7,      2.069231, ,             6,      1.835683, ,
            6,      1.689195, ,           7.5,      2.084015, ,           6.5,      1.883281, ,
          6.5,      1.721378, ,             8,      2.102019, ,             7,      1.929638, ,
            7,      1.760483, ,             9,       2.13734, ,           7.5,      1.987606, ,
          7.5,      1.808097, ,           9.5,       2.16315, ,             8,       2.02351, ,
            8,      1.822797, ,            10,      2.188525, ,           8.5,      2.059516, ,
          8.5,      1.851289, ,          10.5,      2.208547, ,             9,      2.092792, ,
            9,       1.89202, ,            11,      2.239519, ,           9.5,      2.131116, ,
          9.5,      1.900946, ,          11.5,      2.253334, ,            10,      2.161849, ,
           10,      1.927622, ,            12,      2.265532, ,          10.5,         2.184, ,
         10.5,      1.941393, ,          12.5,       2.27853, ,            11,      2.209366, ,
           11,      1.954041, ,            13,      2.290211, ,          11.5,      2.236796, ,
         11.5,      1.963938, ,          13.5,      2.300353, ,            12,      2.254755, ,
           12,      1.970712, ,            14,      2.304314, ,          12.5,      2.271848, ,
         12.5,      1.968584, ,          14.5,      2.308333, ,            13,       2.28597, ,
           13,      1.968866, ,            15,       2.31237, ,          13.5,      2.296703, ,
         13.5,      1.961897, ,          15.5,      2.306937, ,            14,      2.300346, ,
           14,      1.950803, ,            16,       2.31168, ,          14.5,      2.291549, ,
         14.5,      1.938176, ,          16.5,       2.30679, ,            15,      2.278747, ,
           15,      1.923917, ,            17,      2.307182, ,          15.5,      2.255475, ,
         15.5,       1.90891, ,          17.5,      2.307887, ,            16,      2.218828, ,
           16,      1.893953, ,            18,       2.30288, ,          16.5,      2.164916, ,
         16.5,      1.878445, ,          18.5,      2.305098, ,            17,      2.125346, ,
           17,      1.867507, ,            19,      2.299808, ,          17.5,      2.080621, ,
         17.5,      1.858844, ,          19.5,      2.295408, ,            18,      2.046815, ,
           18,      1.849538, ,            20,      2.290652, ,          18.5,      2.023671, ,
         18.5,      1.838603, ,          20.5,      2.286708, ,          19.5,      1.993932, ,
           19,      1.834182, ,            21,      2.278041, ,            20,       1.98722, ,
         19.5,      1.825545, ,          21.5,      2.275569, ,          20.5,      1.979761, ,
           20,      1.819775, ,            22,      2.264438, ,            21,      1.979047, ,
         20.5,      1.814937, ,          22.5,      2.250609, ,          21.5,      1.973143, ,
           21,      1.807999, ,            23,      2.240269, ,            22,      1.970891, ,
         21.5,      1.803449, ,          23.5,      2.219576, ,          22.5,       1.97489, ,
           22,      1.797356, ,            24,       2.20417, ,            23,      1.970787, ,
         22.5,      1.791784, ,          24.5,      2.175376, ,          23.5,      1.968971, ,
           23,      1.787181, ,            25,       2.14723, ,            24,       1.97012, ,
         23.5,      1.780783, , , , ,          24.5,      1.968896, ,
           24,      1.775882, , , , ,            25,      1.960453, ,
         24.5,      1.767151, , , , , , , ,
           25,      1.762691, , , , , , , ,
