xflr5 v6.42
MSHD
T1_Re0.300_M0.00_N9.0
Alpha =  25.0,  Re =   300000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.710    -0.615     0.539     1.271
 0.9948    0.119    -0.617     0.939     1.272
 0.9862   -0.289    -0.619     1.135     1.273
 0.9762   -0.524    -0.622     1.235     1.273
 0.9642   -0.599    -0.624     1.264     1.274
 0.9495   -0.614    -0.627     1.270     1.276
 0.9310   -0.600    -0.632     1.265     1.277
 0.9082   -0.677    -0.637     1.295     1.279
 0.8830   -0.911    -0.643     1.382     1.282
 0.8574   -1.110    -0.650     1.452     1.284
 0.8307   -1.219    -0.657     1.490     1.287
 0.8020   -1.309    -0.666     1.520     1.291
 0.7714   -1.420    -0.675     1.556     1.294
 0.7396   -1.559    -0.686     1.600     1.298
 0.7074   -1.734    -0.697     1.653     1.303
 0.6755   -1.918    -0.710     1.708     1.308
 0.6434   -2.075    -0.723     1.754     1.313
 0.6107   -2.228    -0.738     1.797     1.318
 0.5777   -2.422    -0.755     1.850     1.325
 0.5452   -2.663    -0.774     1.914     1.332
 0.5133   -2.902    -0.793     1.975     1.339
 0.4816   -3.114    -0.815     2.028     1.347
 0.4503   -3.363    -0.839     2.089     1.356
 0.4201   -3.719    -0.865     2.172     1.366
 0.3914   -4.052    -0.893     2.248     1.376
 0.3626   -4.095    -0.924     2.257     1.387
 0.3318   -4.072    -0.962     2.252     1.401
 0.3013   -4.653    -1.003     2.378     1.415
 0.2731   -5.181    -1.042     2.486     1.429
 0.2465   -5.571    -1.171     2.563     1.473
 0.2209   -5.968    -1.513     2.640     1.585
 0.1964   -6.383    -1.912     2.717     1.706
 0.1731   -6.814    -2.279     2.795     1.811
 0.1510   -7.237    -2.599     2.870     1.897
 0.1302   -7.685    -2.894     2.947     1.973
 0.1113   -8.288    -3.214     3.048     2.053
 0.0943   -9.068    -3.565     3.173     2.137
 0.0793   -9.667    -3.852     3.266     2.203
 0.0658   -9.896    -4.000     3.301     2.236
 0.0537   -9.734    -4.123     3.276     2.263
 0.0427   -9.557    -4.255     3.249     2.292
 0.0330  -10.592    -4.376     3.405     2.319
 0.0250  -12.422    -4.566     3.664     2.359
 0.0188  -13.392    -4.802     3.794     2.409
 0.0138  -13.389    -4.749     3.793     2.398
 0.0098  -13.264    -4.677     3.777     2.383
 0.0065  -13.897    -4.774     3.860     2.403
 0.0038  -15.247    -4.949     4.031     2.439
 0.0019  -16.569    -5.033     4.192     2.456
 0.0007  -16.880    -4.825     4.228     2.414
 0.0002  -16.366    -4.665     4.167     2.380
-0.0000  -18.249    -4.989     4.387     2.447
 0.0002  -22.915    -5.518     4.890     2.553
 0.0013  -27.916    -5.999     5.377     2.646
 0.0036  -31.708    -5.774     5.719     2.603
 0.0073  -20.734    -2.619     4.662     1.902
 0.0120   -6.662    -0.058     2.768     1.029
 0.0171   -3.641     0.467     2.154     0.730
 0.0230   -2.368     0.699     1.835     0.549
 0.0295   -1.476     0.844     1.574     0.395
 0.0370   -0.760     0.934     1.327     0.257
 0.0456   -0.215     0.982     1.102     0.135
 0.0557    0.179     0.999     0.906     0.028
 0.0676    0.471     0.995     0.728    -0.068
 0.0818    0.683     0.976     0.563    -0.153
 0.0991    0.830     0.949     0.412    -0.227
 0.1204    0.924     0.917     0.276    -0.288
 0.1466    0.974     0.887     0.161    -0.337
 0.1775    0.995     0.859     0.067    -0.376
 0.2113    1.000     0.839    -0.005    -0.402
 0.2462    0.997     0.828    -0.057    -0.415
 0.2795    0.992     0.824    -0.092    -0.419
 0.3107    0.987     0.822    -0.116    -0.421
 0.3409    0.982     0.820    -0.135    -0.425
 0.3716    0.976     0.812    -0.154    -0.433
 0.4039    0.970     0.804    -0.172    -0.442
 0.4353    0.967     0.804    -0.182    -0.442
 0.4650    0.963     0.802    -0.192    -0.445
 0.4957    0.956     0.790    -0.210    -0.458
 0.5263    0.954     0.790    -0.216    -0.459
 0.5545    0.955     0.795    -0.212    -0.453
 0.5828    0.947     0.785    -0.230    -0.463
 0.6139    0.942     0.777    -0.241    -0.472
 0.6441    0.942     0.779    -0.240    -0.470
 0.6721    0.940     0.779    -0.244    -0.470
 0.6992    0.938     0.776    -0.250    -0.474
 0.7261    0.933     0.769    -0.258    -0.481
 0.7532    0.928     0.758    -0.267    -0.491
 0.7799    0.924     0.748    -0.275    -0.502
 0.8061    0.918     0.734    -0.285    -0.515
 0.8327    0.907     0.708    -0.305    -0.541
 0.8602    0.896     0.679    -0.323    -0.567
 0.8853    0.897     0.674    -0.320    -0.571
 0.9074    0.894     0.664    -0.326    -0.580
 0.9282    0.876     0.625    -0.353    -0.612
 0.9477    0.863     0.591    -0.371    -0.640
 0.9645    0.857     0.572    -0.378    -0.654
 0.9790    0.829     0.511    -0.414    -0.699
 0.9920    0.783     0.457    -0.466    -0.737
 1.0000    0.710    -0.615    -0.539    -1.271


